length,threads,time
100,1,0.2540628910064697
100,2,0.23366928100585938
100,4,0.22863411903381348
100,8,0.23179221153259277
200,1,1.8496110916137695
200,2,1.8309519290924072
200,4,1.8376760482788086
200,8,1.8460850715637207
300,1,6.933930921554565
300,2,6.908481121063232
300,4,6.834007024765015
300,8,6.706287860870361
400,1,15.224732160568237
400,2,14.999035835266113
400,4,15.21966004371643
400,8,15.38362193107605
500,1,30.181090116500854
500,2,29.858813047409058
500,4,29.500611066818237
500,8,29.79505491256714
600,1,55.47507882118225
600,2,55.41366195678711
600,4,56.291438817977905
600,8,53.346622943878174
700,1,82.4553120136261
700,2,84.60904812812805
700,4,83.27550387382507
700,8,82.3111343383789
800,1,124.61771202087402
800,2,123.96010398864746
800,4,128.99670600891113
800,8,130.54586696624756
